Owner,Schedule,Location,Day of Week,Start,End,Total Hours,Total Requests,Requests
aom18,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 13:15:00,2016-09-26 16:30:00,3.25,4,"kak336 (1), aom18 (3), jmo185 (1), mma206 (5)"
tje42,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 13:30:00,2016-09-26 16:45:00,3.25,0,
rbp64,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 14:00:00,2016-12-12 18:00:00,4.00,10,"kak336 (1), ib142 (2), bcs109 (1), aom18 (1), rbp64 (3), jmo185 (1), wowchoi (5), aas281 (1), ny76 (1), tje42 (3)"
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:00:00,2016-09-26 18:15:00,3.25,16,"ij38 (1), kak336 (1), lcn16 (2), ib142 (2), bcs109 (1), bah123 (1), jy415 (4), jmo185 (1), wowchoi (4), aas281 (1), aee51 (2), ny76 (1), rc864 (3), tje42 (3), ns812 (1), knp69 (1)"
jmo185,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:00:00,2016-09-26 18:15:00,3.25,11,"ij38 (2), kak336 (1), bcs109 (1), aom18 (3), rbp64 (1), jmo185 (1), aas281 (1), aee51 (2), ny76 (1), tje42 (3), ns812 (3)"
hah70,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:15:00,2016-09-26 18:30:00,3.25,14,"ij38 (2), kak336 (1), arh94 (2), pm521 (2), rbp64 (1), jmo185 (2), cds167 (1), aas281 (2), aee51 (2), hah70 (4), ny76 (3), ks781 (1), tje42 (3), ns812 (3)"
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:15:00,2016-09-26 18:30:00,3.25,19,"ij38 (1), kak336 (1), lcn16 (2), arh94 (1), ib142 (2), pm521 (1), bah123 (1), jmo185 (1), wowchoi (4), cds167 (1), aas281 (2), aee51 (2), hah70 (4), ny76 (1), rc864 (3), ks781 (1), tje42 (3), ns812 (1), knp69 (1)"
bcs109,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:30:00,2016-09-26 18:00:00,2.50,7,"kak336 (1), bcs109 (2), mi159 (1), bah123 (1), aas281 (1), hah70 (3), tje42 (1)"
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 16:30:00,2016-09-26 20:00:00,3.50,6,"kak336 (1), mi159 (1), jmo185 (3), jb1339 (1), tje42 (3), dtc77 (1)"
ak1024,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 16:45:00,2016-09-26 19:45:00,3.00,9,"dhl45 (2), ak1024 (1), kak336 (1), rep100 (5), mi159 (3), pm521 (2), bah123 (4), jmo185 (5), tje42 (1)"
ks781,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 18:00:00,2016-12-12 21:00:00,3.00,15,"ak1024 (1), kak336 (1), pt292 (1), mi159 (4), rbp64 (3), rnp56 (1), jmo185 (3), ny76 (1), jb1339 (1), cpr75 (1), nrs100 (1), kad326 (1), ks781 (1), tje42 (3), dtc77 (2)"
bdh60,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:00:00,2016-09-26 20:30:00,2.50,8,"bdh60 (3), ak1024 (1), kak336 (1), rep100 (3), pt292 (1), mi159 (1), bah123 (1), tje42 (1)"
sbc90,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00,3.50,24,"da377 (3), bdh60 (2), ak1024 (1), kak336 (1), pt292 (1), mi159 (1), bah123 (1), rbp64 (2), jmo185 (5), evp14 (2), aza12 (1), ag1200 (1), sks183 (3), ny76 (1), jb1339 (1), sbc90 (1), cpr75 (3), nrs100 (1), kad326 (1), ks781 (1), tje42 (3), ns812 (3), yl843 (4), dtc77 (3)"
nrs100,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00,3.50,20,"bdh60 (2), ak1024 (1), kak336 (1), lcn16 (1), ib142 (2), mi159 (1), bah123 (5), jmo185 (4), evp14 (2), ag1200 (1), ny76 (1), sa1110 (2), jb1339 (1), cpr75 (1), nrs100 (1), kad326 (1), adb185 (4), tje42 (3), ns812 (1), yl843 (4)"
kad326,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00,3.75,24,"da377 (3), bdh60 (1), ak1024 (1), kak336 (1), pt292 (1), mi159 (1), bah123 (1), rbp64 (2), jmo185 (5), evp14 (2), aza12 (1), ag1200 (1), sks183 (3), jvw31 (5), ny76 (3), jb1339 (1), cpr75 (3), nrs100 (1), kad326 (2), sn453 (1), tje42 (3), ns812 (3), yl843 (4), dtc77 (3)"
kak336,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00,3.75,22,"dhl45 (2), bdh60 (1), ak1024 (1), kak336 (1), lcn16 (1), ib142 (2), mi159 (1), jmo185 (4), evp14 (2), ag1200 (1), ny76 (1), sa1110 (2), jb1339 (1), sbc90 (2), cpr75 (1), nrs100 (1), kad326 (2), sn453 (1), adb185 (4), tje42 (3), ns812 (1), yl843 (4)"
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 20:30:00,2016-09-26 23:00:00,2.50,18,"dmd349 (1), bdh60 (3), hpp33 (1), ak1024 (3), sm1574 (1), mi159 (3), ag1200 (1), sa1110 (4), dja145 (2), jb1339 (1), sbc90 (2), cpr75 (1), nrs100 (3), kad326 (5), ec681 (2), mwa27 (3), tje42 (3), ns812 (2)"
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 21:00:00,2016-12-13 00:00:00,3.00,16,"dhl45 (1), bnd21 (2), kak336 (4), ib142 (1), sm1574 (1), mi159 (4), dc816 (2), rnp56 (1), ny76 (2), dja145 (4), jb1339 (2), cpr75 (1), sn453 (3), tje42 (3), yl843 (4), dtc77 (2)"
sn453,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00,4.25,14,"sm1574 (1), mi159 (3), am1505 (5), aza12 (1), sks183 (5), ny76 (3), jb1339 (3), cpr75 (3), dfr49 (5), mwa27 (5), sn453 (2), tje42 (3), ns812 (3), yl843 (1)"
