Owner,Schedule,Location,Day of Week,Start,End
sm1574,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 22:15:00,2016-09-27 02:00:00
sbc90,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 23:00:00,2016-09-27 02:00:00
ogb4,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:30:00
knp69,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:45:00
jmo185,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:45:00
ib142,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:00:00,2016-09-27 11:30:00
nrs100,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:15:00,2016-09-27 10:45:00
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 08:15:00,2016-09-27 10:00:00
aee51,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 10:00:00,2016-12-13 14:00:00
pkp63,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:00:00,2016-09-27 12:30:00
mma206,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:00:00,2016-09-27 13:15:00
yl843,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 10:45:00,2016-09-27 13:15:00
yk390,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:30:00,2016-09-27 15:00:00
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:30:00,2016-09-27 15:00:00
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:45:00,2016-09-27 15:15:00
arh94,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 11:45:00,2016-09-27 15:15:00
ncc56,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 12:30:00,2016-09-27 15:30:00
sn453,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 13:15:00,2016-09-27 15:45:00
ls949,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 13:15:00,2016-09-27 16:45:00
dc816,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 14:00:00,2016-12-13 18:00:00
tmc202,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:00:00,2016-09-27 18:15:00
sa1110,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:00:00,2016-09-27 18:15:00
nd292,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:15:00,2016-09-27 18:30:00
ebb43,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:15:00,2016-09-27 18:30:00
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:30:00,2016-09-27 18:00:00
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 15:45:00,2016-09-27 20:00:00
bcs109,BUS-ARC-Disp,NB: Labs: Busch Campus,Tuesday,2016-09-27 16:45:00,2016-09-27 19:45:00
pt292,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:00:00,2016-09-27 20:30:00
ajh223,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 18:00:00,2016-12-13 21:00:00
cws66,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:15:00,2016-09-27 21:45:00
jvw31,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:15:00,2016-09-27 21:45:00
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:30:00,2016-09-27 22:15:00
bnd21,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 18:30:00,2016-09-27 22:15:00
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 20:30:00,2016-09-27 23:00:00
sm1574,BUS-LSM-Cons,NB: Labs: Busch Campus,Tuesday,2016-12-13 21:00:00,2016-12-14 00:00:00
jb1339,BUS-BEST-Cons,NB: Labs: Busch Campus,Tuesday,2016-09-27 21:45:00,2016-09-28 02:00:00
